"county","state","income","age"
"Autauga County","Alabama","53682","37.5"
"Baldwin County","Alabama","50221","41.5"
"Barbour County","Alabama","32911","38.3"
"Bibb County","Alabama","36447","39.4"
"Blount County","Alabama","44145","39.6"
"Bullock County","Alabama","32033","39.6"
"Butler County","Alabama","29918","40.6"
"Calhoun County","Alabama","39962","38.7"
"Chambers County","Alabama","32402","42.4"
"Cherokee County","Alabama","34907","45"
"Chilton County","Alabama","41250","38"
"Choctaw County","Alabama","33941","44.2"
"Clarke County","Alabama","29357","40.3"
"Clay County","Alabama","34002","42.1"
"Cleburne County","Alabama","38019","41.3"
"Coffee County","Alabama","43768","37.8"
"Colbert County","Alabama","39077","41.7"
"Conecuh County","Alabama","24658","43.2"
"Coosa County","Alabama","37277","44.7"
"Covington County","Alabama","35869","42.4"
"Crenshaw County","Alabama","36275","40.6"
"Cullman County","Alabama","38847","40.4"
"Dale County","Alabama","44889","36.1"
"Dallas County","Alabama","26519","38"
"DeKalb County","Alabama","37851","38.8"
"Elmore County","Alabama","54766","37.8"
"Escambia County","Alabama","30687","39.4"
"Etowah County","Alabama","38013","40.3"
"Fayette County","Alabama","33838","43.5"
"Franklin County","Alabama","36415","38.3"
"Geneva County","Alabama","35625","41.9"
"Greene County","Alabama","24226","42.4"
"Hale County","Alabama","30051","40.7"
"Henry County","Alabama","41650","42.7"
"Houston County","Alabama","40948","38.6"
"Jackson County","Alabama","37634","42"
"Jefferson County","Alabama","45429","37.2"
"Lamar County","Alabama","36028","42.9"
"Lauderdale County","Alabama","42844","40.8"
"Lawrence County","Alabama","38551","41.2"
"Lee County","Alabama","43542","29.9"
"Limestone County","Alabama","48619","38.5"
"Lowndes County","Alabama","26230","41"
"Macon County","Alabama","30724","36.8"
"Madison County","Alabama","58434","37.4"
"Marengo County","Alabama","35079","41.8"
"Marion County","Alabama","32888","43.5"
"Marshall County","Alabama","39526","38.4"
"Mobile County","Alabama","43028","36.7"
"Monroe County","Alabama","29203","40.4"
"Montgomery County","Alabama","44790","34.8"
"Morgan County","Alabama","44800","39"
"Perry County","Alabama","28209","35.8"
"Pickens County","Alabama","28741","42.1"
"Pike County","Alabama","33090","31.6"
"Randolph County","Alabama","35213","41.5"
"Russell County","Alabama","36143","35.2"
"St. Clair County","Alabama","50786","38.9"
"Shelby County","Alabama","68770","37.3"
"Sumter County","Alabama","22186","37.2"
"Talladega County","Alabama","35439","40"
"Tallapoosa County","Alabama","39130","42"
"Tuscaloosa County","Alabama","45408","31.4"
"Walker County","Alabama","37566","41.8"
"Washington County","Alabama","42156","39.8"
"Wilcox County","Alabama","23642","39"
"Winston County","Alabama","32900","43.6"
"Aleutians East Borough","Alaska","61250","41.4"
"Aleutians West Census Area","Alaska","81853","38.6"
"Anchorage Municipality","Alaska","77454","32.8"
"Bethel Census Area","Alaska","51689","26.2"
"Bristol Bay Borough","Alaska","79531","40.9"
"Denali Borough","Alaska","72500","39.2"
"Dillingham Census Area","Alaska","54150","28.7"
"Fairbanks North Star Borough","Alaska","69223","30.7"
"Haines Borough","Alaska","52866","44"
"Hoonah-Angoon Census Area","Alaska","49545","46.4"
"Juneau City and Borough","Alaska","81490","37.3"
"Kenai Peninsula Borough","Alaska","61793","40.7"
"Ketchikan Gateway Borough","Alaska","62519","38.7"
"Kodiak Island Borough","Alaska","68718","31.9"
"Lake and Peninsula Borough","Alaska","51786","29.8"
"Matanuska-Susitna Borough","Alaska","71037","34.7"
"Nome Census Area","Alaska","49974","27.9"
"North Slope Borough","Alaska","80761","33.5"
